series,episode,baker,result,signature_handshake,technical,showstopper_handshake,signature,signature_ingredients,showstopper,showstopper_ingredients
3,7,Brendan,IN,No,4,No,,,,
3,7,Cathryn,IN,No,5,No,,,,
3,7,Danny,STAR BAKER,No,2,No,,,,
3,7,James,IN,No,1,No,,,,
3,7,John,IN,No,3,No,,,,
3,7,Manisha,NA,NA,NA,NA,,,,
3,7,Natasha,NA,NA,NA,NA,,,,
3,7,Peter,NA,NA,NA,NA,,,,
3,7,Ryan,OUT,Yes,6,No,,,,
3,7,Sarah-Jane,OUT,No,7,No,,,,
3,7,Stuart,NA,NA,NA,NA,,,,
3,7,Victoria,NA,NA,NA,NA,,,,
3,8,Brendan,IN,No,2,No,,,,
3,8,Cathryn,OUT,No,5,No,,,,
3,8,Danny,IN,No,4,No,,,,
3,8,James,STAR BAKER,No,1,No,,,,
3,8,John,IN,No,3,No,,,,
3,8,Manisha,NA,NA,NA,NA,,,,
3,8,Natasha,NA,NA,NA,NA,,,,
3,8,Peter,NA,NA,NA,NA,,,,
3,8,Ryan,NA,NA,NA,NA,,,,
3,8,Sarah-Jane,NA,NA,NA,NA,,,,
3,8,Stuart,NA,NA,NA,NA,,,,
3,8,Victoria,NA,NA,NA,NA,,,,
3,9,Brendan,IN,No,3,No,,,,
3,9,Cathryn,NA,NA,NA,NA,,,,
3,9,Danny,OUT,No,4,No,,,,
3,9,James,STAR BAKER,No,1,No,,,,
3,9,John,IN,No,2,No,,,,
3,9,Manisha,NA,NA,NA,NA,,,,
3,9,Natasha,NA,NA,NA,NA,,,,
3,9,Peter,NA,NA,NA,NA,,,,
3,9,Ryan,NA,NA,NA,NA,,,,
3,9,Sarah-Jane,NA,NA,NA,NA,,,,
3,9,Stuart,NA,NA,NA,NA,,,,
3,9,Victoria,NA,NA,NA,NA,,,,
3,10,Brendan,Runner-up,No,2,No,,,,
3,10,Cathryn,NA,NA,NA,NA,,,,
3,10,Danny,NA,NA,NA,NA,,,,
3,10,James,Runner-up,No,1,No,,,,
3,10,John,WINNER,No,2,No,,,,
3,10,Manisha,NA,NA,NA,NA,,,,
3,10,Natasha,NA,NA,NA,NA,,,,
3,10,Peter,NA,NA,NA,NA,,,,
3,10,Ryan,NA,NA,NA,NA,,,,
3,10,Sarah-Jane,NA,NA,NA,NA,,,,
3,10,Stuart,NA,NA,NA,NA,,,,
3,10,Victoria,NA,NA,NA,NA,,,,
4,1,Ali,IN,No,11,No,,,,
4,1,Beca,IN,No,8,No,,,,
4,1,Christine,IN,No,3,No,,,,
4,1,Deborah,IN,No,9,No,,,,
4,1,Frances,IN,No,7,No,,,,
4,1,Glenn,IN,No,4,No,,,,
4,1,Howard,IN,No,6,No,,,,
4,1,Kimberley,IN,No,10,No,,,,
4,1,Lucy,IN,No,2,No,,,,
4,1,Mark,IN,No,5,No,,,,
4,1,Robert,STAR BAKER,No,1,No,,,,
4,1,Ruby,IN,No,12,No,,,,
4,1,Toby,OUT,No,13,No,,,,
4,2,Ali,IN,No,9,No,,,,
4,2,Beca,IN,No,11,No,,,,
4,2,Christine,IN,No,4,No,,,,
4,2,Deborah,IN,No,8,No,,,,
4,2,Frances,IN,No,2,No,,,,
4,2,Glenn,IN,No,7,No,,,,
4,2,Howard,IN,No,10,No,,,,
4,2,Kimberley,IN,No,1,No,,,,
4,2,Lucy,OUT,No,12,No,,,,
4,2,Mark,IN,No,6,No,,,,
4,2,Robert,IN,No,5,No,,,,
4,2,Ruby,STAR BAKER,No,3,No,,,,
4,2,Toby,NA,NA,NA,NA,,,,
4,3,Ali,IN,No,5,No,,,,
4,3,Beca,IN,No,10,No,,,,
4,3,Christine,STAR BAKER,No,4,No,,,,
4,3,Deborah,OUT,No,9,No,,,,
4,3,Frances,IN,No,8,No,,,,
4,3,Glenn,IN,No,1,No,,,,
4,3,Howard,IN,No,7,No,,,,
4,3,Kimberley,IN,No,6,No,,,,
4,3,Lucy,NA,NA,NA,NA,,,,
4,3,Mark,OUT,No,11,No,,,,
4,3,Robert,IN,No,2,No,,,,
4,3,Ruby,IN,No,3,No,,,,
4,3,Toby,NA,NA,NA,NA,,,,
4,4,Ali,OUT,No,8,No,,,,
4,4,Beca,IN,No,2,No,,,,
4,4,Christine,IN,No,7,No,,,,
4,4,Deborah,NA,NA,NA,NA,,,,
4,4,Frances,IN,No,1,No,,,,
4,4,Glenn,IN,No,9,No,,,,
4,4,Howard,IN,No,5,No,,,,
4,4,Kimberley,STAR BAKER,No,4,No,,,,
4,4,Lucy,NA,NA,NA,NA,,,,
4,4,Mark,NA,NA,NA,NA,,,,
4,4,Robert,IN,No,3,No,,,,
4,4,Ruby,IN,No,6,No,,,,
4,4,Toby,NA,NA,NA,NA,,,,
4,5,Ali,NA,NA,NA,NA,,,,
4,5,Beca,IN,No,5,No,,,,
4,5,Christine,STAR BAKER,No,1,No,,,,
4,5,Deborah,NA,NA,NA,NA,,,,
4,5,Frances,IN,No,3,No,,,,
4,5,Glenn,IN,No,2,No,,,,
4,5,Howard,IN,No,8,No,,,,
4,5,Kimberley,IN,No,7,No,,,,
4,5,Lucy,NA,NA,NA,NA,,,,
4,5,Mark,NA,NA,NA,NA,,,,
4,5,Robert,OUT,No,4,No,,,,
4,5,Ruby,IN,No,6,No,,,,
4,5,Toby,NA,NA,NA,NA,,,,
4,6,Ali,NA,NA,NA,NA,,,,
4,6,Beca,IN,No,6,No,,,,
4,6,Christine,IN,No,4,No,,,,
4,6,Deborah,NA,NA,NA,NA,,,,
4,6,Frances,IN,No,2,No,,,,
4,6,Glenn,IN,No,5,No,,,,
4,6,Howard,OUT,No,7,No,,,,
4,6,Kimberley,IN,No,3,No,,,,
4,6,Lucy,NA,NA,NA,NA,,,,
4,6,Mark,NA,NA,NA,NA,,,,
4,6,Robert,NA,NA,NA,NA,,,,
4,6,Ruby,STAR BAKER,No,1,No,,,,
4,6,Toby,NA,NA,NA,NA,,,,
4,7,Ali,NA,NA,NA,NA,,,,
4,7,Beca,IN,No,1,No,,,,
4,7,Christine,IN,No,6,No,,,,
4,7,Deborah,NA,NA,NA,NA,,,,
4,7,Frances,STAR BAKER,No,5,No,,,,
4,7,Glenn,OUT,No,3,No,,,,
4,7,Howard,NA,NA,NA,NA,,,,
4,7,Kimberley,IN,No,4,No,,,,
4,7,Lucy,NA,NA,NA,NA,,,,
4,7,Mark,NA,NA,NA,NA,,,,
4,7,Robert,NA,NA,NA,NA,,,,
4,7,Ruby,IN,No,2,No,,,,
4,7,Toby,NA,NA,NA,NA,,,,
4,8,Ali,NA,NA,NA,NA,,,,
4,8,Beca,IN,No,4,No,,,,
4,8,Christine,OUT,No,5,No,,,,
4,8,Deborah,NA,NA,NA,NA,,,,
4,8,Frances,IN,No,3,No,,,,
4,8,Glenn,NA,NA,NA,NA,,,,
4,8,Howard,NA,NA,NA,NA,,,,
4,8,Kimberley,IN,No,2,No,,,,
4,8,Lucy,NA,NA,NA,NA,,,,
4,8,Mark,NA,NA,NA,NA,,,,
4,8,Robert,NA,NA,NA,NA,,,,
4,8,Ruby,STAR BAKER,No,1,No,,,,
4,8,Toby,NA,NA,NA,NA,,,,
4,9,Ali,NA,NA,NA,NA,,,,
4,9,Beca,OUT,No,3,No,,,,
4,9,Christine,NA,NA,NA,NA,,,,
4,9,Deborah,NA,NA,NA,NA,,,,
4,9,Frances,IN,Yes,2,No,,,,
4,9,Glenn,NA,NA,NA,NA,,,,
4,9,Howard,NA,NA,NA,NA,,,,
4,9,Kimberley,STAR BAKER,No,1,No,,,,
4,9,Lucy,NA,NA,NA,NA,,,,
4,9,Mark,NA,NA,NA,NA,,,,
4,9,Robert,NA,NA,NA,NA,,,,
4,9,Ruby,IN,No,4,No,,,,
4,9,Toby,NA,NA,NA,NA,,,,
4,10,Ali,NA,NA,NA,NA,,,,
4,10,Beca,NA,NA,NA,NA,,,,
4,10,Christine,NA,NA,NA,NA,,,,
4,10,Deborah,NA,NA,NA,NA,,,,
4,10,Frances,WINNER,No,3,No,,,,
4,10,Glenn,NA,NA,NA,NA,,,,
4,10,Howard,NA,NA,NA,NA,,,,
4,10,Kimberley,Runner-up,No,1,No,,,,
4,10,Lucy,NA,NA,NA,NA,,,,
4,10,Mark,NA,NA,NA,NA,,,,
4,10,Robert,NA,NA,NA,NA,,,,
4,10,Ruby,Runner-up,No,2,No,,,,
4,10,Toby,NA,NA,NA,NA,,,,
5,1,Chetna,IN,No,3,No,,,,
5,1,Claire,OUT,No,8,No,,,,
5,1,Diana,IN,No,5,No,,,,
5,1,Enwezor,IN,No,9,No,,,,
5,1,Iain,IN,No,4,No,,,,
5,1,Jordan,IN,No,12,No,,,,
5,1,Kate,IN,No,6,No,,,,
5,1,Luis,IN,No,7,No,,,,
5,1,Martha,IN,No,2,No,,,,
5,1,Nancy,STAR BAKER,No,1,No,,,,
5,1,Norman,IN,No,11,No,,,,
5,1,Richard,IN,No,10,No,,,,
5,2,Chetna,IN,No,8,No,,,,
5,2,Claire,NA,NA,NA,NA,,,,
5,2,Diana,IN,No,7,No,,,,
5,2,Enwezor,OUT,No,9,No,,,,
5,2,Iain,IN,No,11,No,,,,
5,2,Jordan,IN,No,6,No,,,,
5,2,Kate,IN,No,4,No,,,,
5,2,Luis,IN,No,3,No,,,,
5,2,Martha,IN,No,5,No,,,,
5,2,Nancy,IN,No,2,No,,,,
5,2,Norman,IN,Yes,10,No,,,,
5,2,Richard,STAR BAKER,No,1,No,,,,
5,3,Chetna,IN,No,8,No,,,,
5,3,Claire,NA,NA,NA,NA,,,,
5,3,Diana,IN,No,7,No,,,,
5,3,Enwezor,NA,NA,NA,NA,,,,
5,3,Iain,IN,No,9,No,,,,
5,3,Jordan,OUT,No,10,No,,,,
5,3,Kate,IN,No,1,No,,,,
5,3,Luis,STAR BAKER,Yes,2,No,,,,
5,3,Martha,IN,No,3,No,,,,
5,3,Nancy,IN,No,5,No,,,,
5,3,Norman,IN,No,4,No,,,,
5,3,Richard,IN,No,6,No,,,,
5,4,Chetna,IN,No,3,No,,,,
5,4,Claire,NA,NA,NA,NA,,,,
5,4,Diana,IN,No,9,No,,,,
5,4,Enwezor,NA,NA,NA,NA,,,,
5,4,Iain,OUT,No,6,No,,,,
5,4,Jordan,NA,NA,NA,NA,,,,
5,4,Kate,IN,No,7,No,,,,
5,4,Luis,IN,No,2,No,,,,
5,4,Martha,IN,No,1,No,,,,
5,4,Nancy,IN,No,4,No,,,,
5,4,Norman,IN,No,8,No,,,,
5,4,Richard,STAR BAKER,No,5,No,,,,
5,5,Chetna,IN,No,2,No,,,,
5,5,Claire,NA,NA,NA,NA,,,,
5,5,Diana,WITHDRAWN,NA,NA,NA,,,,
5,5,Enwezor,NA,NA,NA,NA,,,,
5,5,Iain,NA,NA,NA,NA,,,,
5,5,Jordan,NA,NA,NA,NA,,,,
5,5,Kate,STAR BAKER,No,3,No,,,,
5,5,Luis,IN,No,6,No,,,,
5,5,Martha,IN,No,1,No,,,,
5,5,Nancy,IN,No,4,No,,,,
5,5,Norman,OUT,No,5,No,,,,
5,5,Richard,IN,No,7,No,,,,
5,6,Chetna,STAR BAKER,No,2,No,,,,
5,6,Claire,NA,NA,NA,NA,,,,
5,6,Diana,WITHDRAWN,NA,NA,NA,,,,
5,6,Enwezor,NA,NA,NA,NA,,,,
5,6,Iain,NA,NA,NA,NA,,,,
5,6,Jordan,NA,NA,NA,NA,,,,
5,6,Kate,IN,No,6,No,,,,
5,6,Luis,IN,No,3,No,,,,
5,6,Martha,IN,No,4,No,,,,
5,6,Nancy,IN,No,1,No,,,,
5,6,Norman,NA,NA,NA,NA,,,,
5,6,Richard,IN,No,5,No,,,,
5,7,Chetna,IN,No,6,No,,,,
5,7,Claire,NA,NA,NA,NA,,,,
5,7,Diana,WITHDRAWN,NA,NA,NA,,,,
5,7,Enwezor,NA,NA,NA,NA,,,,
5,7,Iain,NA,NA,NA,NA,,,,
5,7,Jordan,NA,NA,NA,NA,,,,
5,7,Kate,OUT,No,4,No,,,,
5,7,Luis,IN,No,5,No,,,,
5,7,Martha,IN,No,3,No,,,,
5,7,Nancy,IN,No,2,No,,,,
5,7,Norman,NA,NA,NA,NA,,,,
5,7,Richard,STAR BAKER,No,1,No,,,,
5,8,Chetna,IN,No,1,No,,,,
5,8,Claire,NA,NA,NA,NA,,,,
5,8,Diana,WITHDRAWN,NA,NA,NA,,,,
5,8,Enwezor,NA,NA,NA,NA,,,,
5,8,Iain,NA,NA,NA,NA,,,,
5,8,Jordan,NA,NA,NA,NA,,,,
5,8,Kate,NA,NA,NA,NA,,,,
5,8,Luis,IN,No,2,No,,,,
5,8,Martha,OUT,No,5,No,,,,
5,8,Nancy,IN,No,3,No,,,,
5,8,Norman,NA,NA,NA,NA,,,,
5,8,Richard,STAR BAKER,No,4,No,,,,
5,9,Chetna,OUT,No,4,No,,,,
5,9,Claire,NA,NA,NA,NA,,,,
5,9,Diana,WITHDRAWN,NA,NA,NA,,,,
5,9,Enwezor,NA,NA,NA,NA,,,,
5,9,Iain,NA,NA,NA,NA,,,,
5,9,Jordan,NA,NA,NA,NA,,,,
5,9,Kate,NA,NA,NA,NA,,,,
5,9,Luis,IN,No,1,No,,,,
5,9,Martha,NA,NA,NA,NA,,,,
5,9,Nancy,IN,No,3,No,,,,
5,9,Norman,NA,NA,NA,NA,,,,
5,9,Richard,STAR BAKER,No,2,No,,,,
5,10,Chetna,NA,NA,NA,NA,,,,
5,10,Claire,NA,NA,NA,NA,,,,
5,10,Diana,WITHDRAWN,NA,NA,NA,,,,
5,10,Enwezor,NA,NA,NA,NA,,,,
5,10,Iain,NA,NA,NA,NA,,,,
5,10,Jordan,NA,NA,NA,NA,,,,
5,10,Kate,NA,NA,NA,NA,,,,
5,10,Luis,Runner-up,No,2,No,,,,
5,10,Martha,NA,NA,NA,NA,,,,
5,10,Nancy,WINNER,No,1,No,,,,
5,10,Norman,NA,NA,NA,NA,,,,
5,10,Richard,Runner-up,No,3,No,,,,
6,1,Alvin,IN,No,2,No,,,,
6,1,Dorret,IN,No,5,No,,,,
6,1,Flora,IN,No,6,No,,,,
6,1,Ian,IN,No,8,No,,,,
6,1,Marie,STAR BAKER,No,3,No,,,,
6,1,Mat,IN,No,7,No,,,,
6,1,Nadiya,IN,No,12,No,,,,
6,1,Paul,IN,No,10,No,,,,
6,1,Sandy,IN,No,9,No,,,,
6,1,Stu,OUT,No,11,No,,,,
6,1,Tamal,IN,No,4,No,,,,
6,1,Ugne,IN,No,1,No,,,,
6,2,Alvin,IN,No,6,No,,,,
6,2,Dorret,IN,No,1,No,,,,
6,2,Flora,IN,No,2,No,,,,
6,2,Ian,STAR BAKER,No,3,No,,,,
6,2,Marie,OUT,No,11,No,,,,
6,2,Mat,IN,No,5,No,,,,
6,2,Nadiya,IN,No,9,No,,,,
6,2,Paul,IN,No,10,No,,,,
6,2,Sandy,IN,No,4,No,,,,
6,2,Stu,NA,NA,NA,NA,,,,
6,2,Tamal,IN,No,8,No,,,,
6,2,Ugne,IN,No,7,No,,,,
6,3,Alvin,IN,No,4,No,,,,
6,3,Dorret,OUT,No,6,No,,,,
6,3,Flora,IN,No,2,No,,,,
6,3,Ian,STAR BAKER,No,1,No,,,,
6,3,Marie,NA,NA,NA,NA,,,,
6,3,Mat,IN,No,8,No,,,,
6,3,Nadiya,IN,No,9,No,,,,
6,3,Paul,IN,Yes,10,No,,,,
6,3,Sandy,IN,No,7,No,,,,
6,3,Stu,NA,NA,NA,NA,,,,
6,3,Tamal,IN,No,3,No,,,,
6,3,Ugne,IN,No,5,No,,,,
6,4,Alvin,IN,No,9,No,,,,
6,4,Dorret,NA,NA,NA,NA,,,,
6,4,Flora,IN,No,3,No,,,,
6,4,Ian,STAR BAKER,No,4,No,,,,
6,4,Marie,NA,NA,NA,NA,,,,
6,4,Mat,IN,No,7,No,,,,
6,4,Nadiya,IN,No,8,No,,,,
6,4,Paul,IN,No,1,No,,,,
6,4,Sandy,OUT,No,6,No,,,,
6,4,Stu,NA,NA,NA,NA,,,,
6,4,Tamal,IN,No,5,No,,,,
6,4,Ugne,IN,No,2,No,,,,
6,5,Alvin,IN,No,8,No,,,,
6,5,Dorret,NA,NA,NA,NA,,,,
6,5,Flora,IN,No,3,No,,,,
6,5,Ian,IN,No,5,No,,,,
6,5,Marie,NA,NA,NA,NA,,,,
6,5,Mat,IN,No,4,No,,,,
6,5,Nadiya,STAR BAKER,No,1,No,,,,
6,5,Paul,IN,No,2,No,,,,
6,5,Sandy,NA,NA,NA,NA,,,,
6,5,Stu,NA,NA,NA,NA,,,,
6,5,Tamal,IN,No,7,No,,,,
6,5,Ugne,OUT,No,6,No,,,,
6,6,Alvin,OUT,No,6,No,,,,
6,6,Dorret,NA,NA,NA,NA,,,,
6,6,Flora,IN,No,2,No,,,,
6,6,Ian,IN,No,3,No,,,,
6,6,Marie,NA,NA,NA,NA,,,,
6,6,Mat,STAR BAKER,No,1,No,,,,
6,6,Nadiya,IN,No,4,No,,,,
6,6,Paul,IN,No,5,No,,,,
6,6,Sandy,NA,NA,NA,NA,,,,
6,6,Stu,NA,NA,NA,NA,,,,
6,6,Tamal,IN,No,7,No,,,,
6,6,Ugne,NA,NA,NA,NA,,,,
6,7,Alvin,NA,NA,NA,NA,,,,
6,7,Dorret,NA,NA,NA,NA,,,,
6,7,Flora,IN,No,4,No,,,,
6,7,Ian,IN,No,5,No,,,,
6,7,Marie,NA,NA,NA,NA,,,,
6,7,Mat,OUT,No,6,No,,,,
6,7,Nadiya,IN,No,1,No,,,,
6,7,Paul,IN,No,2,No,,,,
6,7,Sandy,NA,NA,NA,NA,,,,
6,7,Stu,NA,NA,NA,NA,,,,
6,7,Tamal,STAR BAKER,Yes,3,No,,,,
6,7,Ugne,NA,NA,NA,NA,,,,
6,8,Alvin,NA,NA,NA,NA,,,,
6,8,Dorret,NA,NA,NA,NA,,,,
6,8,Flora,IN,No,3,No,,,,
6,8,Ian,IN,No,2,No,,,,
6,8,Marie,NA,NA,NA,NA,,,,
6,8,Mat,NA,NA,NA,NA,,,,
6,8,Nadiya,STAR BAKER,No,1,No,,,,
6,8,Paul,OUT,No,5,No,,,,
6,8,Sandy,NA,NA,NA,NA,,,,
6,8,Stu,NA,NA,NA,NA,,,,
6,8,Tamal,IN,No,4,No,,,,
6,8,Ugne,NA,NA,NA,NA,,,,
6,9,Alvin,NA,NA,NA,NA,,,,
6,9,Dorret,NA,NA,NA,NA,,,,
6,9,Flora,OUT,No,1,No,,,,
6,9,Ian,IN,No,3,No,,,,
6,9,Marie,NA,NA,NA,NA,,,,
6,9,Mat,NA,NA,NA,NA,,,,
6,9,Nadiya,STAR BAKER,Yes,4,No,,,,
6,9,Paul,NA,NA,NA,NA,,,,
6,9,Sandy,NA,NA,NA,NA,,,,
6,9,Stu,NA,NA,NA,NA,,,,
6,9,Tamal,IN,No,2,No,,,,
6,9,Ugne,NA,NA,NA,NA,,,,
6,10,Alvin,NA,NA,NA,NA,,,,
6,10,Dorret,NA,NA,NA,NA,,,,
6,10,Flora,OUT,No,NA,No,,,,
6,10,Ian,Runner-up,No,2,No,,,,
6,10,Marie,NA,NA,NA,NA,,,,
6,10,Mat,NA,NA,NA,NA,,,,
6,10,Nadiya,WINNER,Yes,1,No,,,,
6,10,Paul,NA,NA,NA,NA,,,,
6,10,Sandy,NA,NA,NA,NA,,,,
6,10,Stu,NA,NA,NA,NA,,,,
6,10,Tamal,Runner-up,No,3,No,,,,
6,10,Ugne,NA,NA,NA,NA,,,,
7,1,Andrew,IN,No,12,No,,,,
7,1,Benjamina,IN,No,6,No,,,,
7,1,Candice,IN,No,5,No,,,,
7,1,Jane,STAR BAKER,No,7,No,,,,
7,1,Kate,IN,No,4,No,,,,
7,1,Lee,OUT,No,11,No,,,,
7,1,Louise,IN,No,9,No,,,,
7,1,Michael,IN,No,3,No,,,,
7,1,Rav,IN,No,8,No,,,,
7,1,Selasi,IN,No,1,No,,,,
7,1,Tom,IN,No,2,No,,,,
7,1,Val,IN,No,10,No,,,,
7,2,Andrew,IN,No,4,No,,,,
7,2,Benjamina,IN,No,3,No,,,,
7,2,Candice,STAR BAKER,No,8,No,,,,
7,2,Jane,IN,No,2,No,,,,
7,2,Kate,IN,No,1,No,,,,
7,2,Lee,NA,NA,NA,NA,,,,
7,2,Louise,OUT,No,10,No,,,,
7,2,Michael,IN,No,9,No,,,,
7,2,Rav,IN,No,6,No,,,,
7,2,Selasi,IN,No,11,No,,,,
7,2,Tom,IN,Yes,7,No,,,,
7,2,Val,IN,No,5,No,,,,
7,3,Andrew,IN,No,2,No,,,,
7,3,Benjamina,IN,No,6,No,,,,
7,3,Candice,IN,No,3,No,,,,
7,3,Jane,IN,No,9,No,,,,
7,3,Kate,IN,No,8,No,,,,
7,3,Lee,NA,NA,NA,NA,,,,
7,3,Louise,NA,NA,NA,NA,,,,
7,3,Michael,OUT,No,7,No,,,,
7,3,Rav,IN,No,10,No,,,,
7,3,Selasi,IN,No,5,No,,,,
7,3,Tom,STAR BAKER,No,4,No,,,,
7,3,Val,IN,No,1,No,,,,
7,4,Andrew,IN,No,4,No,,,,
7,4,Benjamina,IN,No,1,No,,,,
7,4,Candice,STAR BAKER,No,2,No,,,,
7,4,Jane,IN,No,3,No,,,,
7,4,Kate,OUT,No,7,No,,,,
7,4,Lee,NA,NA,NA,NA,,,,
7,4,Louise,NA,NA,NA,NA,,,,
7,4,Michael,NA,NA,NA,NA,,,,
7,4,Rav,IN,No,9,No,,,,
7,4,Selasi,IN,Yes,8,No,,,,
7,4,Tom,IN,No,5,No,,,,
7,4,Val,IN,No,6,No,,,,
7,5,Andrew,STAR BAKER,No,6,No,,,,
7,5,Benjamina,IN,No,5,No,,,,
7,5,Candice,IN,No,2,No,,,,
7,5,Jane,IN,No,1,No,,,,
7,5,Kate,NA,NA,NA,NA,,,,
7,5,Lee,NA,NA,NA,NA,,,,
7,5,Louise,NA,NA,NA,NA,,,,
7,5,Michael,NA,NA,NA,NA,,,,
7,5,Rav,IN,No,8,No,,,,
7,5,Selasi,IN,No,3,No,,,,
7,5,Tom,IN,No,4,No,,,,
7,5,Val,OUT,No,7,No,,,,
7,6,Andrew,IN,No,6,No,,,,
7,6,Benjamina,OUT,No,2,No,,,,
7,6,Candice,IN,No,5,No,,,,
7,6,Jane,IN,No,4,No,,,,
7,6,Kate,NA,NA,NA,NA,,,,
7,6,Lee,NA,NA,NA,NA,,,,
7,6,Louise,NA,NA,NA,NA,,,,
7,6,Michael,NA,NA,NA,NA,,,,
7,6,Rav,OUT,No,3,No,,,,
7,6,Selasi,IN,No,7,No,,,,
7,6,Tom,STAR BAKER,No,1,No,,,,
7,6,Val,NA,NA,NA,NA,,,,
7,7,Andrew,IN,No,1,No,,,,
7,7,Benjamina,IN,No,3,No,,,,
7,7,Candice,STAR BAKER,No,2,No,,,,
7,7,Jane,IN,No,4,No,,,,
7,7,Kate,NA,NA,NA,NA,,,,
7,7,Lee,NA,NA,NA,NA,,,,
7,7,Louise,NA,NA,NA,NA,,,,
7,7,Michael,NA,NA,NA,NA,,,,
7,7,Rav,NA,NA,NA,NA,,,,
7,7,Selasi,IN,No,6,No,,,,
7,7,Tom,OUT,No,5,No,,,,
7,7,Val,NA,NA,NA,NA,,,,
7,8,Andrew,IN,No,2,No,,,,
7,8,Benjamina,OUT,No,4,No,,,,
7,8,Candice,STAR BAKER,No,1,No,,,,
7,8,Jane,IN,No,5,No,,,,
7,8,Kate,NA,NA,NA,NA,,,,
7,8,Lee,NA,NA,NA,NA,,,,
7,8,Louise,NA,NA,NA,NA,,,,
7,8,Michael,NA,NA,NA,NA,,,,
7,8,Rav,NA,NA,NA,NA,,,,
7,8,Selasi,IN,No,3,No,,,,
7,8,Tom,NA,NA,NA,NA,,,,
7,8,Val,NA,NA,NA,NA,,,,
7,9,Andrew,STAR BAKER,No,2,No,,,,
7,9,Benjamina,NA,NA,NA,NA,,,,
7,9,Candice,IN,No,3,No,,,,
7,9,Jane,IN,No,1,No,,,,
7,9,Kate,NA,NA,NA,NA,,,,
7,9,Lee,NA,NA,NA,NA,,,,
7,9,Louise,NA,NA,NA,NA,,,,
7,9,Michael,NA,NA,NA,NA,,,,
7,9,Rav,NA,NA,NA,NA,,,,
7,9,Selasi,OUT,No,4,No,,,,
7,9,Tom,NA,NA,NA,NA,,,,
7,9,Val,NA,NA,NA,NA,,,,
